article_index,baseline_rouge1,baseline_rouge2,baseline_rougeL,gpt2_rouge1,gpt2_rouge2,gpt2_rougeL
1,0.21148036253776437,0.0851063829787234,0.13293051359516617,0.171875,0.0196078431372549,0.09765624999999999
2,0.3319148936170213,0.12017167381974249,0.19574468085106383,0.24043715846994534,0.038461538461538464,0.15300546448087432
3,0.08888888888888889,0.0,0.044444444444444446,0.17105263157894737,0.0,0.09210526315789473
4,0.18181818181818182,0.025,0.09917355371900827,0.16777041942604856,0.022172949002217293,0.10596026490066224
5,0.2787456445993031,0.09824561403508772,0.17421602787456447,0.25934065934065936,0.04856512141280354,0.14945054945054945
6,0.3137254901960785,0.10891089108910892,0.2647058823529411,0.06779661016949153,0.0,0.05084745762711864
7,0.16184971098265896,0.07017543859649124,0.12716763005780346,0.125,0.013986013986013986,0.08333333333333333
8,0.1910112359550562,0.062146892655367235,0.08988764044943819,0.23478260869565218,0.026200873362445413,0.11304347826086956
9,0.25471698113207547,0.028571428571428567,0.1509433962264151,0.19444444444444442,0.027932960893854747,0.13333333333333336
10,0.24074074074074073,0.08695652173913043,0.11728395061728396,0.13709677419354838,0.024390243902439025,0.10483870967741937
11,0.09696969696969696,0.0,0.05454545454545454,0.28936170212765955,0.03418803418803419,0.15319148936170213
12,0.2811244979919679,0.11336032388663968,0.2248995983935743,0.16091954022988506,0.023255813953488372,0.1149425287356322
13,0.24892703862660942,0.12987012987012986,0.20600858369098712,0.2111801242236025,0.03125,0.12422360248447206
14,0.1146131805157593,0.0345821325648415,0.06876790830945559,0.2671480144404332,0.02898550724637681,0.15162454873646208
15,0.3529411764705882,0.15810276679841898,0.2588235294117647,0.07462686567164178,0.01515151515151515,0.07462686567164178
16,0.1586206896551724,0.05555555555555555,0.13103448275862067,0.208955223880597,0.006006006006006006,0.11343283582089554
17,0.25157232704402516,0.05063291139240507,0.11949685534591194,0.24161073825503354,0.03595505617977528,0.11185682326621924
18,0.09677419354838711,0.006493506493506493,0.05161290322580645,0.2610364683301344,0.02697495183044316,0.10748560460652593
19,0.20087336244541484,0.06167400881057269,0.13100436681222705,0.20749279538904902,0.02318840579710145,0.11527377521613831
20,0.12811387900355872,0.02150537634408602,0.06405693950177936,0.2264957264957265,0.025751072961373394,0.1282051282051282
21,0.11869436201780417,0.011940298507462687,0.0712166172106825,0.2145748987854251,0.008130081300813007,0.10526315789473685
22,0.18579234972677594,0.054945054945054944,0.0983606557377049,0.13020833333333334,0.005235602094240837,0.08854166666666667
23,0.19318181818181818,0.05747126436781609,0.13636363636363635,0.13523131672597866,0.028673835125448032,0.099644128113879
24,0.23036649214659682,0.047368421052631574,0.12041884816753927,0.21824686940966012,0.02513464991023339,0.1037567084078712
25,0.11864406779661017,0.028409090909090905,0.08474576271186442,0.2517985611510791,0.032490974729241874,0.14388489208633093
26,0.22368421052631576,0.03973509933774835,0.11184210526315788,0.17840375586854462,0.028301886792452827,0.10328638497652583
27,0.20192307692307696,0.06796116504854369,0.15384615384615385,0.17714285714285716,0.005747126436781609,0.09714285714285714
28,0.2612244897959184,0.11522633744855966,0.1142857142857143,0.22842639593908626,0.015306122448979591,0.1269035532994924
29,0.1672025723472669,0.02588996763754045,0.0707395498392283,0.1772853185595568,0.005571030640668523,0.0886426592797784
30,0.17647058823529413,0.019736842105263157,0.0784313725490196,0.15999999999999998,0.0,0.09684210526315788
31,0.224,0.03225806451612904,0.10400000000000001,0.21192052980132448,0.03104212860310421,0.11920529801324503
32,0.2888888888888889,0.1044776119402985,0.17777777777777778,0.21176470588235294,0.009456264775413711,0.12705882352941178
33,0.17391304347826086,0.046647230320699715,0.09855072463768115,0.026086956521739132,0.0,0.026086956521739132
34,0.15428571428571428,0.011494252873563218,0.06857142857142859,0.23928571428571427,0.01075268817204301,0.12142857142857143
35,0.17333333333333334,0.040268456375838924,0.13333333333333333,0.1900647948164147,0.004338394793926247,0.1036717062634989
36,0.14207650273224043,0.05524861878453039,0.12021857923497269,0.1372549019607843,0.0,0.09803921568627451
37,0.10894941634241247,0.03137254901960784,0.08560311284046693,0.1721311475409836,0.016528925619834715,0.11475409836065574
38,0.24390243902439027,0.07975460122699386,0.12195121951219513,0.2612419700214133,0.03440860215053764,0.1284796573875803
39,0.16759776536312848,0.02808988764044944,0.0782122905027933,0.18493150684931506,0.027586206896551724,0.13013698630136983
40,0.22580645161290325,0.04878048780487806,0.11290322580645162,0.2424242424242424,0.04215456674473068,0.15850815850815853
41,0.15254237288135591,0.0,0.07909604519774012,0.2141623488773748,0.01386481802426343,0.1070811744386874
42,0.23684210526315794,0.058201058201058205,0.1473684210526316,0.21089630931458697,0.017636684303350973,0.10896309314586994
43,0.22950819672131148,0.08241758241758242,0.12568306010928962,0.2545454545454546,0.029197080291970802,0.12363636363636366
44,0.6797385620915033,0.40131578947368424,0.6339869281045752,0.23408624229979466,0.020618556701030927,0.12731006160164274
45,0.14251781472684086,0.03818615751789976,0.08076009501187649,0.15706806282722516,0.010526315789473684,0.10471204188481675
46,0.11538461538461538,0.01657458563535912,0.049450549450549455,0.20996441281138792,0.0035714285714285718,0.11387900355871887
47,0.1794871794871795,0.04516129032258065,0.1217948717948718,0.2006079027355623,0.0,0.1033434650455927
